State,Incident ID,Incident Date,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations,year,fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,area,rank,percent,Rates,Gun Law Grade,Gun Death Rate,Red or Blue State
Alabama,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,111.0,1.0,Alabama,100.6762,5098746.0,5074296.0,5031362.0,5006199.4,4779736.0,0.00482,24450.0,0.06674,50645.0,24.0,0.0152717080480234,21.77005875562344, F,23.6 per 100k, Republican
Alaska,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,2.0,Alaska,1.28449,732984.0,733583.0,732923.0,730653.8,710231.0,-0.00082,-599.0,0.03204,570641.0,48.0,0.0021954256305123,6.821431300001091, F,23.5 per 100k, Republican
Arizona,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,4.0,Arizona,65.61541,7453517.0,7359197.0,7179943.0,7101150.4,6392017.0,0.01282,94320.0,0.16607,113594.0,14.0,0.0223246922978669,7.513231673047771, F,16.7 per 100k, Swing State
Arkansas,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,0.0,48.0,5.0,Arkansas,58.86715,3063152.0,3045637.0,3014195.0,3004367.3,2915918.0,0.00575,17515.0,0.05049,52035.0,33.0,0.0091747192448337,15.670133248366389, F,22.6 per 100k, Republican
California,428.0,428.0,428.0,427.0,428.0,428.0,428.0,428.0,428.0,0.0,428.0,6.0,California,249.81347,38915693.0,39029342.0,39501653.0,39276883.3,37253956.0,-0.00291,-113649.0,0.04461,155779.0,1.0,0.1165598564789285,10.998133837678285, A,8.5 per 100k, Democrat
Colorado,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,67.0,8.0,Colorado,56.62333,5868555.0,5839926.0,5784865.0,5709298.1,5029196.0,0.0049,28629.0,0.1669,103642.0,21.0,0.0175774315142916,11.416779769466249, B,15.4 per 100k, Democrat
Connecticut,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,32.0,9.0,Connecticut,749.49504,3629055.0,3626205.0,3597362.0,3595035.5,3574097.0,0.00079,2850.0,0.01538,4842.0,29.0,0.0108697056982677,8.817722520049985, A,6 per 100k, Democrat
Delaware,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0,21.0,10.0,Delaware,529.49461,1031985.0,1018396.0,992114.0,982696.0,897934.0,0.01334,13589.0,0.14929,1949.0,45.0,0.0030909901434469,20.349132981584034, B,14.4 per 100k, Democrat
District of Columbia,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,75.0,,,,,,,,,,,,,,,,,,
Florida,267.0,267.0,267.0,266.0,267.0,267.0,267.0,267.0,267.0,0.0,267.0,12.0,Florida,422.59351,22661577.0,22244823.0,21589602.0,21310772.8,18801310.0,0.01873,416754.0,0.20532,53625.0,3.0,0.067875706664306,11.782057356379037, C,13.7 per 100k, Swing State
Georgia,176.0,176.0,176.0,175.0,176.0,176.0,176.0,176.0,176.0,0.0,176.0,13.0,Georgia,191.91701,11037723.0,10912876.0,10729828.0,10625610.5,9687653.0,0.01144,124847.0,0.13936,57513.0,8.0,0.0330600667636618,15.945317707284374, F,17.7 per 100k, Swing State
Hawaii,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,Hawaii,223.14152,1433238.0,1440196.0,1451043.0,1441968.8,1360301.0,-0.00483,-6958.0,0.05362,6423.0,40.0,0.0042928187243163,0.6977208251525566, A,3.4 per 100k, Democrat
Idaho,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,16.0,Idaho,23.88287,1973752.0,1939033.0,1849202.0,1821040.0,1567582.0,0.01791,34719.0,0.25911,82643.0,37.0,0.0059117603236565,1.0132985299064927, F,17.6 per 100k, Republican
Illinois,449.0,449.0,449.0,447.0,449.0,449.0,449.0,449.0,449.0,0.0,449.0,17.0,Illinois,224.74459,12477595.0,12582032.0,12786580.0,12790985.2,12830632.0,-0.0083,-104437.0,-0.02752,55519.0,6.0,0.0373727555719538,35.984498615318095, A,14.1 per 100k, Democrat
Indiana,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,96.0,18.0,Indiana,191.27287,6852542.0,6833037.0,6788799.0,6758299.3,6483802.0,0.00285,19505.0,0.05687,35826.0,17.0,0.0205246585750337,14.009399723489473, D,17.3 per 100k, Republican
Iowa,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.0,18.0,19.0,Iowa,57.34903,3203345.0,3200517.0,3190571.0,3176149.4,3046355.0,0.00088,2828.0,0.05153,55857.0,32.0,0.0095946237794735,5.619126257084392, F,11.2 per 100k, Republican
Kansas,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,0.0,27.0,20.0,Kansas,35.91504,2936378.0,2937150.0,2937919.0,2929438.9,2853118.0,-0.00026,-772.0,0.02918,81759.0,34.0,0.0087950071516877,9.195001460983566, F,16.9 per 100k, Republican
Kentucky,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,56.0,21.0,Kentucky,114.42109,4518031.0,4512310.0,4507445.0,4490637.2,4339367.0,0.00127,5721.0,0.04117,39486.0,26.0,0.0135323568547873,12.39477993842893, F,20.1 per 100k, Republican
Louisiana,209.0,209.0,209.0,208.0,209.0,209.0,209.0,209.0,209.0,0.0,209.0,22.0,Louisiana,105.39265,4553384.0,4590241.0,4651664.0,4639834.8,4533372.0,-0.00803,-36857.0,0.00441,43204.0,25.0,0.0136382457723019,45.89992849274298, F,26.3 per 100k, Republican
Maine,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,23.0,Maine,45.17855,1393442.0,1385340.0,1363557.0,1360037.4,1328361.0,0.00585,8102.0,0.04899,30843.0,42.0,0.0041736221819745,2.870589518616491, F,10.4 per 100k, Democrat
Maryland,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,0.0,134.0,24.0,Maryland,634.04862,6154710.0,6164660.0,6173205.0,6133239.7,5773552.0,-0.00161,-9950.0,0.06602,9707.0,19.0,0.0184345198290423,21.771943763394212, A,13.5 per 100k, Democrat
Massachusetts,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0.0,35.0,25.0,Massachusetts,894.13564,6974258.0,6981974.0,6995729.0,6950919.0,6547629.0,-0.00111,-7716.0,0.06516,7800.0,16.0,0.0208892210021036,5.018455009837606, A,3.7 per 100k, Democrat
Michigan,146.0,146.0,146.0,142.0,146.0,146.0,146.0,146.0,146.0,0.0,146.0,26.0,Michigan,177.41244,10030722.0,10034113.0,10069577.0,10050983.3,9883640.0,-0.00034,-3391.0,0.01488,56539.0,10.0,0.0300439084227545,14.555283258772398, C,14.6 per 100k, Swing State
Minnesota,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,0.0,55.0,27.0,Minnesota,71.87131,5722897.0,5717184.0,5709852.0,5669259.3,5303925.0,0.001,5713.0,0.07899,79627.0,22.0,0.0171411582716435,9.61051719085631, C,8.9 per 100k, Swing State
Mississippi,94.0,94.0,94.0,92.0,94.0,94.0,94.0,94.0,94.0,0.0,94.0,28.0,Mississippi,62.45398,2930528.0,2940057.0,2958141.0,2959056.6,2967297.0,-0.00324,-9529.0,-0.01239,46923.0,35.0,0.0087774852959057,32.07613099072931, F,28.6 per 100k, Republican
Missouri,145.0,145.0,145.0,144.0,145.0,145.0,145.0,145.0,145.0,0.0,145.0,29.0,Missouri,89.98998,6186091.0,6177957.0,6153998.0,6137490.9,5988927.0,0.00132,8134.0,0.03292,68742.0,18.0,0.0185285118557593,23.4396810522186, F,23.9 per 100k, Republican
Montana,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,30.0,Montana,7.82919,1139507.0,1122867.0,1087075.0,1077309.0,989415.0,0.01482,16640.0,0.1517,145546.0,43.0,0.0034130388575306,3.5102899762792155, F,20.9 per 100k, Republican
Nebraska,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,16.0,31.0,Nebraska,25.67286,1972292.0,1967923.0,1962642.0,1949011.9,1826341.0,0.00222,4369.0,0.07991,76824.0,38.0,0.0059073873476835,8.112389037728693, C,10.1 per 100k, Republican
Nevada,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,33.0,32.0,Nevada,29.23222,3209142.0,3177772.0,3115648.0,3074138.3,2700551.0,0.00987,31370.0,0.18833,109781.0,31.0,0.0096119868902373,10.28312240468013, C,17 per 100k, Swing State
New Hampshire,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,33.0,New Hampshire,156.70245,1402957.0,1395231.0,1378587.0,1372375.3,1316470.0,0.00554,7726.0,0.0657,8953.0,41.0,0.0042021214055241,1.425560441267979, F,8.9 per 100k, Democrat
New Jersey,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,0.0,109.0,34.0,New Jersey,1258.5582,9255437.0,9261699.0,9271689.0,9223709.5,8791894.0,-0.00068,-6262.0,0.05272,7354.0,11.0,0.0277217833013988,11.77686153554932, A,5 per 100k, Democrat
New Mexico,29.0,29.0,29.0,28.0,29.0,29.0,29.0,29.0,29.0,0.0,29.0,35.0,New Mexico,17.39527,2110011.0,2113344.0,2118390.0,2112468.9,2059179.0,-0.00158,-3333.0,0.02469,121298.0,36.0,0.0063198817846815,13.74400417817727, C,22.7 per 100k, Democrat
New York,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,0.0,211.0,36.0,New York,413.71663,19496810.0,19677151.0,20108296.0,20035276.6,19378102.0,-0.00916,-180341.0,0.00613,47126.0,4.0,0.0583966312869448,10.822283235052298, A,5.3 per 100k, Democrat
North Carolina,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,0.0,138.0,37.0,North Carolina,222.7994,10832061.0,10698973.0,10449445.0,10358048.8,9535483.0,0.01244,133088.0,0.13597,48618.0,9.0,0.032444070198904,12.739957797505017, C,16 per 100k, Swing State
Ohio,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,0.0,175.0,39.0,Ohio,287.50579,11747774.0,11756058.0,11797517.0,11771415.7,11536504.0,-0.0007,-8284.0,0.01831,40861.0,7.0,0.0351868037243198,14.896439104123045, D,15.2 per 100k, Swing State
Oklahoma,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,38.0,40.0,Oklahoma,59.01851,4048375.0,4019800.0,3964912.0,3943555.9,3751351.0,0.00711,28575.0,0.07918,68595.0,28.0,0.0121256483592077,9.386482230524594, F,20.7 per 100k, Republican
Oregon,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,24.0,41.0,Oregon,44.00522,4223973.0,4240137.0,4244795.0,4203422.9,3831074.0,-0.00381,-16164.0,0.10256,95988.0,27.0,0.0126515975611913,5.681854500490416, B,13 per 100k, Democrat
Pennsylvania,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,0.0,220.0,42.0,Pennsylvania,289.02749,12931957.0,12972008.0,12994440.0,12965233.9,12702379.0,-0.00309,-40051.0,0.01807,44743.0,5.0,0.0387336556466224,17.01211966603353, B,13.6 per 100k, Swing State
Rhode Island,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,44.0,Rhode Island,1054.62573,1090483.0,1093734.0,1096345.0,1091967.2,1052567.0,-0.00297,-3251.0,0.03602,1034.0,44.0,0.0032662027108886,5.5021490477155535, B,5.1 per 100k, Democrat
South Carolina,114.0,114.0,114.0,113.0,114.0,114.0,114.0,114.0,114.0,0.0,114.0,45.0,South Carolina,178.70337,5372002.0,5282634.0,5131848.0,5081199.6,4625364.0,0.01692,89368.0,0.16142,30061.0,23.0,0.0160901614195722,21.221138785875358, F,22 per 100k, Republican
South Dakota,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,46.0,South Dakota,12.1814,923484.0,909824.0,887799.0,880437.1,814180.0,0.01501,13660.0,0.13425,75811.0,46.0,0.0027660091393101,4.331423175712844, F,13.6 per 100k, Republican
Tennessee,148.0,148.0,148.0,147.0,148.0,148.0,148.0,148.0,148.0,0.0,148.0,47.0,Tennessee,173.0163,7134327.0,7051339.0,6925619.0,6867667.6,6346105.0,0.01177,82988.0,0.12421,41235.0,15.0,0.0213686579137558,20.744773823795853, F,21.3 per 100k, Republican
Texas,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,0.0,307.0,48.0,Texas,116.75553,30500280.0,30029572.0,29232474.0,28823782.7,25145561.0,0.01567,470708.0,0.21295,261232.0,2.0,0.0913541038410169,10.065481366072705, F,14.2 per 100k, Republican
Utah,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,8.0,49.0,Utah,41.6513,3422487.0,3380800.0,3283785.0,3231795.0,2763885.0,0.01233,41687.0,0.23829,82170.0,30.0,0.0102509954922554,2.3374814864161646, F,13.6 per 100k, Republican
Vermont,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,50.0,Vermont,70.2133,647156.0,647064.0,642893.0,641177.8,625741.0,0.00014,92.0,0.03422,9217.0,49.0,0.001938354547084,1.5452224811328337, C,11.6 per 100k, Democrat
Virginia,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,0.0,106.0,51.0,Virginia,220.55895,8709873.0,8683619.0,8636471.0,8572926.3,8001024.0,0.00302,26254.0,0.08859,39490.0,12.0,0.0260877159974947,12.170097084079183, B,13.4 per 100k, Democrat
Washington,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,52.0,53.0,Washington,117.83476,7830827.0,7785786.0,7724031.0,7624081.9,6724540.0,0.00579,45041.0,0.16451,66456.0,13.0,0.0234548070679691,6.6404225249772475, B,10.9 per 100k, Democrat
West Virginia,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,7.0,54.0,West Virginia,73.41651,1764786.0,1775156.0,1791420.0,1797577.4,1852994.0,-0.00584,-10370.0,-0.0476,24038.0,39.0,0.0052858676543681,3.966486588175564, F,18.1 per 100k, Republican
Wisconsin,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,58.0,55.0,Wisconsin,109.03241,5904977.0,5892539.0,5896271.0,5875342.5,5686986.0,0.00211,12438.0,0.03833,54158.0,20.0,0.0176865222888713,9.822222846930648, C,12.2 per 100k, Swing State
Wyoming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,56.0,Wyoming,6.00743,583279.0,581381.0,577605.0,576207.1,563626.0,0.00326,1898.0,0.03487,97093.0,50.0,0.0017470308578899,1.7144454026289306, F,25.9 per 100k, Republican
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,, F,13.8 per 100k, Republican
